date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:47	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Sep%202024%2014:22:44%20GMT	https://gangapipes.com/robots.txt		(from )
19:52:47	67098/67098	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2014:22:44%20GMT	https://gangapipes.com/	C:/My%20Web%20Sites/kapdevala/gangapipes.com/index.html	(from )
19:52:47	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Sep%202024%2014:22:45%20GMT	https://gangapipes.com/assets/images/favicon.ico	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/images/favicon.ico	(from https://gangapipes.com/)
19:52:48	63102/63102	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2003:47:02%20GMT	https://gangapipes.com/assets/css/font-awesome-all.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/font-awesome-all15f4.css	(from https://gangapipes.com/)
19:52:48	5164/5164	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2003:47:02%20GMT	https://gangapipes.com/assets/css/flaticon.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/flaticon15f4.css	(from https://gangapipes.com/)
19:52:48	5687/5687	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2003:47:04%20GMT	https://gangapipes.com/assets/css/owl.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/owl15f4.css	(from https://gangapipes.com/)
19:52:48	197170/197170	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2003:47:00%20GMT	https://gangapipes.com/assets/css/bootstrap.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/bootstrap15f4.css	(from https://gangapipes.com/)
19:52:49	13735/13735	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2003:47:02%20GMT	https://gangapipes.com/assets/css/jquery.fancybox.min.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/jquery.fancybox.min15f4.css	(from https://gangapipes.com/)
19:52:49	86593/86593	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2003:47:00%20GMT	https://gangapipes.com/assets/css/animate.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/animate15f4.css	(from https://gangapipes.com/)
19:52:49	37738/37738	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Aug%202022%2009:37:43%20GMT	https://gangapipes.com/assets/css/color.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/color15f4.css	(from https://gangapipes.com/)
19:52:49	34530/34530	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2003:47:04%20GMT	https://gangapipes.com/assets/css/rtl.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/rtl15f4.css	(from https://gangapipes.com/)
19:52:50	273252/273252	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Aug%202022%2012:18:24%20GMT	https://gangapipes.com/assets/css/style.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/style15f4.css	(from https://gangapipes.com/)
19:52:50	27280/27280	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jun%202022%2003:47:04%20GMT	https://gangapipes.com/assets/css/responsive.css?var=29	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/css/responsive15f4.css	(from https://gangapipes.com/)
19:52:50	2271/2271	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jun%202022%2003:47:30%20GMT	https://gangapipes.com/assets/images/logo.png	C:/My%20Web%20Sites/kapdevala/gangapipes.com/assets/images/logo.png	(from https://gangapipes.com/)
19:52:50	25430/25430	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2014:22:48%20GMT	https://gangapipes.com/company-profile.php	C:/My%20Web%20Sites/kapdevala/gangapipes.com/company-profile.html	(from https://gangapipes.com/)
19:52:50	100366/100366	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2014:22:48%20GMT	https://gangapipes.com/category.php?cid=1	C:/My%20Web%20Sites/kapdevala/gangapipes.com/categorycc32.html	(from https://gangapipes.com/)
19:52:51	103715/103715	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2014:22:48%20GMT	https://gangapipes.com/category.php?cid=2	C:/My%20Web%20Sites/kapdevala/gangapipes.com/category2047.html	(from https://gangapipes.com/)
